543  468  tensor(78.4583, device='cuda:0')
0  tensor(96.2200, device='cuda:0')
0  tensor(96.5900, device='cuda:0')
544  468  tensor(82.7650, device='cuda:0')
0  tensor(96.3500, device='cuda:0')
0  tensor(96.4700, device='cuda:0')
545  468  tensor(79.1117, device='cuda:0')
0  tensor(96.2700, device='cuda:0')
0  tensor(96.4600, device='cuda:0')
546  468  tensor(78.8017, device='cuda:0')
0  tensor(96.1300, device='cuda:0')
0  tensor(96.4800, device='cuda:0')
547  468  tensor(80.1667, device='cuda:0')
0  tensor(96.2000, device='cuda:0')
0  tensor(96.5400, device='cuda:0')
548  468  tensor(81.9850, device='cuda:0')
0  tensor(96.2000, device='cuda:0')
